market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice,year,month,day,market_cleaned,distance_from_center,market_encoded,cluster,category_encoded,commodity_encoded,quantity,unit_type,standardized_unit,standardized_price,pricetype_encoded
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,988.75,18.3102,2000,12,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.8875,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1080,20,2001,1,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,10.8,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,985,18.2407,2001,1,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.85,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1092,20.2222,2001,2,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,10.92,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,985,18.2407,2001,2,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.85,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1160,21.4815,2001,3,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.6,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,980,18.1481,2001,3,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.8,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1191,22.0556,2001,4,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.91,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,977.5,18.1019,2001,4,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.775,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1160,20.9191,2001,5,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.6,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,972.5,17.5378,2001,5,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.725,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1017,17.8421,2001,6,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,10.17,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,970,17.0175,2001,6,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.7,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1001,17.5614,2001,7,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,10.01,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,970,17.0175,2001,7,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.7,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1037,18.193,2001,8,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,10.37,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,975,17.1053,2001,8,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.75,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1102,19.3333,2001,9,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.02,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,975,17.1053,2001,9,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.75,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1146,20.1053,2001,10,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.46,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,968,16.9825,2001,10,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.68,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1145,20.0877,2001,11,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.45,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,955.2,16.7579,2001,11,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.552,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1129,19.807,2001,12,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.29,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,955,16.7544,2001,12,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.55,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1210,21.0671,2002,1,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,12.1,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,961,16.7318,2002,1,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.61,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1267,21.8826,2002,2,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,12.67,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,965,16.6667,2002,2,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.65,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1279,22.0898,2002,3,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,12.79,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,965,16.6667,2002,3,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.65,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1263,21.8135,2002,4,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,12.63,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,954.25,16.481,2002,4,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.5425,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1217,21.019,2002,5,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,12.17,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,928.75,16.0406,2002,5,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.2875,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1200,20.7254,2002,6,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,12,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,925,15.9758,2002,6,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.25,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1218,21.0363,2002,7,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,12.18,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,925,15.9758,2002,7,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.25,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1270,21.9344,2002,8,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,12.7,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,914.75,15.7988,2002,8,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.1475,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1256,21.6926,2002,9,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,12.56,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,914.25,15.7902,2002,9,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.1425,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1324,22.867,2002,10,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,13.24,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,914,15.7858,2002,10,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.14,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1350,23.3161,2002,11,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,13.5,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,907.5,15.6736,2002,11,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.075,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1263,21.8135,2002,12,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,12.63,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,899.75,15.5397,2002,12,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,8.9975,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1263,21.8135,2003,1,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,12.63,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,903.5,15.6045,2003,1,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.035,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1339,23.1261,2003,2,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,13.39,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,873.33,15.0834,2003,2,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,8.7333,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1369,23.6442,2003,3,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,13.69,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,893.33,15.4288,2003,3,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,8.933300000000001,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1316,22.7288,2003,4,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,13.16,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,856,14.7841,2003,4,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,8.56,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1327,22.9188,2003,5,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,13.27,1
